,link,title,heading
0,https://www.bbc.com/news/world-59814661,US reports Covid record as Europe's cases soar,hero1
1,https://www.bbc.com/news/world-asia-59807734,Hong Kong police raid news website's office,hero2
2,https://www.bbc.com/sport/football/59736888,Lookman scores as Foxes down Liverpool,hero3
3,https://www.bbc.co.uk/news/science-environment-59744522,How is it going with those grand COP26 commitments?,hero4
4,https://www.bbc.com/news/world-africa-59813216,Desmond Tutu: Remembered by daughter as a 'hugger',hero5
5,https://www.bbc.com/news/world-us-canada-59814542,NFL and video game icon John Madden dies aged 85,news
6,https://www.bbc.com/news/science-environment-59760356,The tale of the 'un-extinct' fish,news
7,https://www.bbc.com/news/world-us-canada-59812877,Maxwell jury to meet every day because of Covid,news
8,https://www.bbc.com/sport/cricket/59808298,Five stages of grief with England,sport
9,https://www.bbc.com/sport/football/59736885,Ten-man Southampton frustrate Spurs,sport
10,https://www.bbc.com/sport/football/59736887,West Ham fight back to beat Watford,sport
11,https://www.bbc.com/travel/article/20210117-stromatolites-the-earths-oldest-living-lifeforms,A billion-year-old living organism,features-and-events
12,https://www.bbc.com/future/article/20210813-the-reasons-humans-started-kissing,The reasons humans started kissing,features-and-events
13,https://www.bbc.com/culture/article/20211026-how-ichi-the-killer-brought-ultra-violence-to-the-mainstream,The most shocking film ever made?,features-and-events
14,https://www.bbc.com/news/world-asia-india-55748124,India approves two new vaccines amid Omicron fears,regional-news
15,https://www.bbc.com/news/world-asia-india-59731621,Bollywood relives Indiaâ€™s epic 1983 cricket triumph,regional-news
16,https://www.bbc.com/news/world-asia-india-59803771,India blocks foreign funds for Mother Teresa charity,regional-news
17,https://www.bbc.com/news/world-asia-india-51908404,India's unwinnable battle against spitting,regional-news
18,https://www.bbc.com/worklife/article/20210507-asexuality-the-ascent-of-the-invisible-sexual-orientation,The 'invisible' sexual orientation,editors-picks
19,https://www.bbc.com/culture/article/20210820-edge-of-seventeen-an-anthem-that-stuns-each-new-generation,The most iconic rock anthem of the 80s?,editors-picks
20,https://www.bbc.com/future/article/20210720-the-complexities-of-vaccine-hesitancy,Why some people don't want a vaccine,editors-picks
21,https://www.bbc.com/travel/article/20211004-yemens-ancient-soaring-skyscraper-cities,Yemen's ancient skyscraper cities,editors-picks
22,https://www.bbc.com/news/entertainment-arts-59571637,"Music preview 2022: The biggest releases, tours and films",editors-picks
23,https://www.bbc.com/news/world-us-canada-59806040,Covid isolation time halved by US health agency,editors-picks
24,https://www.bbc.com/news/science-environment-59562636,Appeal to identify lab's scientific curiosities,editors-picks
25,https://www.bbc.com/news/business-59654421,"'Don't overthink, fail fast and move on'",primary-special-features
26,https://www.bbc.com/news/business-59576867,Miners experiment with hydrogen to power giant trucks,primary-special-features
27,https://www.bbc.com/news/entertainment-arts-59808695,"Vinyl sales soared again in 2021, thanks to Abba",more-bbc
28,https://www.bbc.com/news/technology-59810383,Alexa tells girl to touch live plug with penny,more-bbc
29,https://www.bbc.com/news/world-middle-east-59808888,Israel tries to contain avian flu outbreak,more-bbc
30,https://www.bbc.com/news/business-59552404,How invisible barcodes could increase plastic recycling,more-bbc
31,https://www.bbc.com/news/world-europe-59805829,France announces tighter Covid restrictions,more-bbc
32,https://www.bbc.com/news/health-59761537,Global vaccine rollout a stain on our soul - Brown,more-bbc
33,https://www.bbc.com/news/science-environment-59803766,Biologist EO Wilson - 'Darwin's heir' - dies at 92,more-bbc
34,https://www.bbc.com/future/article/20211215-the-flying-doctors-delivering-vaccines,The 'flying doctors' saving lives,secondary-special-features
35,https://www.bbc.com/news/business-59651334,The robot chefs that can cook your Christmas dinner,secondary-special-features
36,https://www.bbc.com/news/in-pictures-59478434,A year in the UK in photographs,world-in-pictures1
37,https://www.bbc.com/news/uk-england-essex-59755777,Photographer paints Christmas scenes in light,world-in-pictures2
38,https://www.bbc.com/news/world-africa-59701734,"Africa's top shots: Drumming, leaping and smiling",world-in-pictures3
39,https://www.bbc.com/news/uk-england-merseyside-59743605,Photos found in skip show 'mysterious' man's life,world-in-pictures4
40,https://www.bbc.com/news/in-pictures-59740104,In pictures: Seven days of isolation,world-in-pictures5
newdf
